id,f1_score
Team 31,0.9386360170056248
Team 6,0.9322135126415501
Team 29,0.9243843807725204
Team 16,0.9218618614526448
Team 12,0.9176554944294656
Team 7,0.913665152359994
Team 5,0.8987205680891088
Team 24,0.8935015444660416
Team 2,0.8839170636738245
Team 17,0.8835428587755593
Team 20,0.8825047907813721
Team 23,0.8783110630376083
Team 4,0.8772854343845239
Team 30,0.8706238279824151
Team 11,0.8666283567207103
Team 28,0.8602064496473886
Team 9,0.8222283423788999
Team 8,0.8191451312857627
Team 27,0.8162158957628884
Team 15,0.8127242105977555
Team 18,0.8094304224987307
Team 19,0.7856114547003842
Team 1,0.7847229467141879
Team 26,0.7821826088587168
Team 21,0.7637162963528685
Team 25,0.7578512159175748
Team 14,0.6492902021555665
Team 10,0.5708633767689396
Team 3,0.4332159567537788
Team 22,0.4298353915833595
Team 13,0.412796673634789
